"filename", "language", "JSON", "JavaScript", "PostCSS", "TypeScript", "Svelte", "Markdown", "YAML", "JSON with Comments", "XML", "HTML", "TOML", "Rust", "comment", "blank", "total"
"/home/qlt/zeno-wallet/src/components/changePassword.svelte", "Svelte", 0, 0, 0, 0, 268, 0, 0, 0, 0, 0, 0, 0, 0, 18, 286
"/home/qlt/zeno-wallet/src/components/createAccount.svelte", "Svelte", 0, 0, 0, 0, 392, 0, 0, 0, 0, 0, 0, 0, 0, 30, 422
"/home/qlt/zeno-wallet/src/components/currencySelector.svelte", "Svelte", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 6, 89
"/home/qlt/zeno-wallet/src/components/deleteAccount.svelte", "Svelte", 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 9, 111
"/home/qlt/zeno-wallet/src/components/fileLoad.svelte", "Svelte", 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 24, 220
"/home/qlt/zeno-wallet/src/components/footer.svelte", "Svelte", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 11, 79
"/home/qlt/zeno-wallet/src/components/header.svelte", "Svelte", 0, 0, 0, 0, 303, 0, 0, 0, 0, 0, 0, 0, 0, 27, 330
"/home/qlt/zeno-wallet/src/components/importAccount.svelte", "Svelte", 0, 0, 0, 0, 536, 0, 0, 0, 0, 0, 0, 0, 0, 38, 574
"/home/qlt/zeno-wallet/src/components/index.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/home/qlt/zeno-wallet/src/components/languageSelector.svelte", "Svelte", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 9, 69
"/home/qlt/zeno-wallet/src/components/modal.svelte", "Svelte", 0, 0, 0, 0, 268, 0, 0, 0, 0, 0, 0, 0, 0, 25, 293
"/home/qlt/zeno-wallet/src/components/navLeft.svelte", "Svelte", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 9, 50
"/home/qlt/zeno-wallet/src/components/navPanel.svelte", "Svelte", 0, 0, 0, 0, 539, 0, 0, 0, 0, 0, 0, 0, 0, 29, 568
"/home/qlt/zeno-wallet/src/components/nftBalace.svelte", "Svelte", 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 17, 176
"/home/qlt/zeno-wallet/src/components/nftDetail.svelte", "Svelte", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 9, 76
"/home/qlt/zeno-wallet/src/components/priceChart.svelte", "Svelte", 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 20, 161
"/home/qlt/zeno-wallet/src/components/resetWallet.svelte", "Svelte", 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 14, 210
"/home/qlt/zeno-wallet/src/components/restoreMn.svelte", "Svelte", 0, 0, 0, 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 18, 288
"/home/qlt/zeno-wallet/src/components/scanner.svelte", "Svelte", 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 20, 178
"/home/qlt/zeno-wallet/src/components/switchTheme.svelte", "Svelte", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 14, 90
"/home/qlt/zeno-wallet/src/components/toaster.svelte", "Svelte", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34
"/home/qlt/zeno-wallet/src/components/tokenDetail.svelte", "Svelte", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 9, 76
